設問ID(半角英数字20文字以内)	チェック設問有無(0:無 1:有)	チェック設問の解答(F04用)	F01:ラベル	F02:ラベル	F03:ラベル	F04:チェックボックス	F05:ラベル
18	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	室戸市の臨時議会が29日開かれ、空席になっていた助役に、市総務課長の武内土佐雄氏(57)を選ぶ人事案に同意した。	19歳の武内氏、助役就任へ　室戸市議会@白昼の室戸市議会、空席助役決まる@助役に武内氏　室戸市議会が同意@室戸市、助役決まる@アニキ会会長が室戸市議会で選出@女性課長を起用　室戸市議会	
19	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	27日の東京競馬第10レースで外側に斜行し、落馬の原因になったため5月11日まで騎乗停止となった。	競馬の斜行は騎乗禁止に@日本騎手が騎乗停止　競馬@東京競馬で落馬原因で騎乗停止@オーストラリアの騎手が騎乗停止　競馬@岩田騎手は騎乗停止　競馬@競馬の斜行は騎乗停止	
20	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	西尾市教育委員会は1日、臨時委員会を開き、会社役員の鈴木雅子さん(49)を委員長に選んだ。女性の委員長就任は同市初。	日本初の女性委員長就任　西尾市教委発表@女性委員長を選出　西尾市教委@初の女性委員長、鈴木さんを選任　西尾市教育委員会@西尾市教育委員長に女性@全ての女性委員長決定　西尾市教委@JR東・西尾市教育委員長に女性	
21	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	歌手の布施明さん(65)と、歌手の森川由加里さん(50)が結婚した。2人がそれぞれの公式ホームページで15日に発表した。	布施明さんと森川由加里さんが結婚@布施明さん・森川由加里さん、結婚@布施明さん・森川由加里さん結婚@故・布施明さんと森川由加里さん結婚@夏の結婚発表　布施明さん・森川由加里さん@布施明さん・森川由里さんが結婚	
22	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	県産農産物の放射性物質検査で、県は12日、米沢市産の雪菜は「不検出」だったと発表した。雪菜の検査は初めて。	米沢産の雪菜、放射性物質不検出　県が初検査@米沢産の雪菜、不検出　県の放射性物質検査@雪菜は「不検出」　県の放射性物質検査@雪菜は不検出　県の放射性物質検査@米沢産の雪菜、放射性物質不検出@「雪菜」不検出　米沢産、放射性物質の検査	
23	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	南伊豆町選挙管理委員会は3日、次期町長選の日程を来年4月16日告示、同21日投開票と決めた。今のところ、誰も立候補を表明していない。	東伊豆町長選、来年4月21日に告示@南伊豆町長選、4月21日投票@京都・南伊豆町長選の日程決まる@南伊豆町長選は4月21日　町選管@県都の町長選、4月21日に投開票　南伊豆町@南伊豆町長選、4月16日告示　21日に投開票	
24	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	新党改革は24日、夏の参院選比例区で、いずれも新顔の田中大助氏(62)、福田晃三氏(39)の公認を発表した。	期日前投票に田中氏・福田氏　新党改革、参院選比例区@現職の田中氏らを新党改革が追加公認　参院選比例区@新顔4人を公認　新党改革、参院選比例区@新顔2人を公認　新党改革、参院選で@新党改革が2人公認　参院選@新党改革、田中氏公認　参院選比例区	
25	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	東芝がNECに逆転負け。今季6戦目で初黒星を喫した。サニックスはトヨタ自動車を破って初白星。	シャープに東芝逆転負け　ラグビー・トップリーグ　2日@東芝、初黒星　ラグビーW杯2007フランス　21日@東芝、初黒星　ラグビー・トップリーグ　3日@芝黒星　ラグビー・トップリーグ　5日@東芝が初黒星　ラグビー・トップリーグ　10日@企業勢に痛恨の黒星　ラグビー・トップリーグ　20日	
26	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	多賀城市民会館で18日に行われたアンサンブルコンテスト県大会高校の部で、石巻市立女子高の金管八重奏も金賞を受賞した。	石巻市立女子高の金管八重奏も金賞　アンサンブルコンテスト県大会@「金管八重奏」など金賞　アンサンブルコンテスト県大会@東北高校が金賞　アンサンブルコンテスト県大会@石巻高など金賞　アンサンブルコンテスト県大会@岩手大など金賞　アンサンブルコンテスト県大会高校の部@アンサンブルコン県大会で石巻市立女子高が金賞	
27	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	3月。外はまだまだ寒いが、春の訪れを感じさせる催しが相次いでいる。一足早くタケノコの収穫も始まっている。	タケノコ狩りや収穫の秋、催し続々　「春」感じて@お先に春を感じて　タケノコの収穫やタケノコ収穫@春を感じる催し続々　タケノコやタケノコ、収穫の秋@春の訪れ感じて　タケノコ収穫・タケノコ収穫...各地で催し@タケノコ収穫、春の訪れ　各地で催し相次ぐ@春そろり、訪れ感じさせる催し　京田辺・木津川・城陽	
28	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	龍ケ崎市は7日、福島第一原発事故の影響で購入した放射線測定器の代金など976万円を今月中に東京電力に対し損害賠償請求すると発表した。	震災の放射線測定器代など東電に賠償請求へ　牛久市発表@原発事故で購入した放射線測定器代など賠償へ　龍ケ崎市@震災の放射線測定器代など東電に賠償請求へ　龍ケ崎市@龍ケ崎市が東電に損害賠償請求へ@龍ケ崎市が東電に976万円賠償請求へ@原発賠償を請求へ　龍ケ崎市、東電に976万円	
29	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	第93回全国高校野球選手権兵庫大会が9日に開幕する。今年は162校161チームが出場。県内10球場で熱戦を繰り広げる。	手作りの夏:1　第93回全国高校野球選手権兵庫大会@夢へダッシュ:1　第93回全国高校野球選手権兵庫大会@大一番!161チーム:1　第93回全国高校野球選手権兵庫大会@熱戦、きょう開幕　第93回全国高校野球選手権兵庫大会@161チームの夏:1　第93回全国高校野球選手権兵庫大会@161チームの夏、きょう開幕　第93回全国高校野球選手権兵庫大会	
30	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	安八町選挙管理委員会は、同町議選(定数12)の日程を10月11日告示、同16日投開票と決めた。	今回は安八町議選、10月16日に投開票@10月16日投開票　安八町議選@来月16日投開票　安八町議選、日程決まる@安八町議選、10月16日投票@安八町議選は10月16日投開票@来月16日投開票　安八町議選	
31	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	東京都議選で、ゆるキャラが活躍している。候補者だけでなく、選挙管理委員会も起用。投票を呼び込むことができるか-。	ゆるキャラ、都議選も活躍　選管も起用、投票呼び込み狙う@女性候補もお任せ、都政のゆるキャラ　統一地方選@若者よ投票を　東京市議選のゆるキャラ活躍@ゆるキャラ、都議選にらむ　投票呼び込みへ、選管も起用@ゆるキャラ、都議選も活躍　選管も起用、投票呼びかけもOK?@投票、ゆる~くお願い	
32	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	選抜大会に出場する高松商、小豆島両校で14日、それぞれ壮行会があった。激励を受けた選手たちは甲子園での活躍を誓った。小豆島町草壁本町であった小豆島の壮行会には生徒や家族が参加した。	小豆島の選手を激励　高松商と小豆島　第81回選抜高校野球@“甲子園”で活躍誓う　高松商と小豆島で壮行会　高校野球@応援任せて　高松商、小豆島両校で壮行会　第88回選抜高校野球@「全員野球で頑張る」　センバツ出場の2校、小豆島高で激励式@選抜「優勝旗を」　高松商・小豆島で壮行会　高校野球@春の甲子園「頑張る」　高松商・小豆島で壮行会　第87回選抜高校野球	
33	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	道警は17日、本部と各方面本部、警察署に、参院選の選挙違反取締本部(殿川一郎本部長)を設置した。捜査2課によると、これまでに目立った違反事案は確認されていないという。	参院選に向け、道警が選挙違反取締本部を設置@参院選に向け、取締本部設置　道警@県警に参院選違反取締本部設置@自民・民主・公明・共産が取締本部　参院選@ネットに警告も　参院選で道警が取締本部@民主・自民などの選挙違反取締本部　参院選で道警	
34	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	地元木材のぬくもりを子どもたちへ-。釧路市は、市立小学校で地元のカラマツ材を使った椅子と机を使う方針を決めた。28校のうち、更新期を迎える18校で導入する。	カラマツの机、地元材で　釧路市、更新期控え導入方針@“地元流”杉マツ材で机にお任せ　釧路の小学校、18校で導入方針@地元産材で机、机に　釧路市、更新期控え導入@地元の木材で机に机　釧路市、18小学校導入方針@釧路市立小、地元木材で机　市、更新期の18校に導入方針@地元材のぬくもり、児童に　釧路の小学校、椅子・机に採用	
35	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	県警サイバー犯罪対策課などは25日、佐賀市の自営業の男(47)など3人を著作権法違反の容疑で書類送検し、発表した。ともに容疑を認めているという。警視庁などと行った全国一斉摘発の一環。	無銭飲食などの疑いで摘発　県警など、全国一斉摘発で@日本に来たら著作権法違反の疑い、3人を書類送検　県警など@著作権法違反の疑いで3人を書類送検@動画サイトに無断投稿容疑で書類送検　県警など@県初の全国一斉摘発　県警など、著作権法違反容疑で@著作権法違反容疑で3人を書類送検　県警など全国一斉摘発で	
36	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	平塚市議会は25日の本会議で、議員定数を30から28に削減する条例案を賛成多数で可決した。来春の市議選から適用される。同議会の定数削減は、2007年の統一地方選で4減されて以来、8年ぶりとなる。	飲酒運転で8年ぶり、平塚市議会が定数2減　来春の市議選から@平塚市議員定数、30から28へ削減@平塚市議会、定数2減@女性市議定数、28から削減　平塚市議会@「定数30から28」8年ぶり削減　平塚市議会可決@市民委員の削減案を可決　平塚市議会、8年ぶり選挙から28に	
37	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	東京・代々木体育館で開かれている第43回全国ミニバスケットボール大会は29日、2日間の予選リーグを終えた。この日、県内から出場した女子の味酒(松山市)は秋田チームに快勝。2勝して決勝トーナメント進出を決めた。	女子が決勝T進出　全国ミニバスケ@女子の味酒、決勝Tへ　全国ミニバスケ@女子、決勝Tへ　全国ミニバスケ大会@味酒、決勝Tへ　全国ミニバスケ女子@味酒、決勝Tへ　全国ミニバスケ@県勢女子が決勝Tへ　全国ミニバスケ	
38	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	おっちょこちょいにして、さもしいのか。行列を見かけると並び、箱買いについ手を出してしまう。お買い得感に金縛りになるらしい。	おっちょこちょこちょこちょい　お買い得感に金縛り@金縛りの行列　お買い得感に、さもしい?@西国三十三所　「お宝」を買うときに金縛る@スルメイカ　行列見かけ、つい箱買い@行列を見かける　「金縛り」の秘密は@「さもしい」　西山泰之著　行列見かけるためのは	
39	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	知事選は4月12日の投開票に向けて候補者の論戦が始まっている。立候補した現職と新顔の計5氏の横顔を紹介する。(届け出順▁カッコ内数字は当選回数。	知事選候補者の訴え　統一地方選@知事選候補者の横顔　統一地方選・3区@知事選候補者の訴え@知事選、候補者の横顔@知事選　候補者に聞く:上@知事選候補者の横顔　統一地方選	
40	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	トルコのエルドアン首相が、反政権デモへの締め付けを強めている。ツイッターを利用してデモを扇動したとして一部の市民を拘束。週末にかけて、再び大規模な衝突が起きる可能性がある。	トルコ首相、デモを扇動　ツイッターで市民を拘束、衝突の恐れも@新首相が抗議集会へ　ツイッター利用し拘束　トルコ@米、トルコで再び大規模衝突か　デモ扇動の市民拘束@トルコデモ、市民拘束　首相帰国、締め付け強化@トルコ首相、デモを扇動　ツイッターで市民拘束@デモ隊に拘束　トルコ首相、デモを警戒　週末まで再び衝突の恐れ	
41	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	京都市動物園(左京区)が1903年の開園から110周年を迎え、記念誌「みんなの京都市動物園」をまとめた。同園や市内の書店などで販売している。本は全5章。	京都市動物園、110周年で記念誌　市内全5章を販売@京都市動物園、110周年で記念誌　市内各店などで販売@京都市動物園の110年、1冊に　全5章「飼育の歴史知って」@全5章を記念、京都市動物園110周年　記念誌を作成@“京の顔”が本に　京都市動物園、開園110周年@小売店など5章を販売　京都市動物園、開園110周年	
42	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	もうすぐお正月。県内の百貨店では初売りに向け、福袋の準備に追われている。地元名産を詰め込んだお得な商品から、景気回復を当て込んだ高額品まで。	百貨店初売り、福袋に熱中　百貨店、景気回復当て込む?@新年へ準備、急ピッチ　百貨店、高額品・アイデア...工夫@県内の百貨店で福袋準備、急ピッチで「福」求め@“福”求め、福袋準備　百貨店@福袋、準備は大忙し　百貨店、景気回復当て込み@今年の県内百貨店、初売りへ準備着々	
43	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	県教育委員会は、教育委員長に八重樫勝氏(72)を再任した。任期は11日から1年間。盛岡市立下橋中学校長などを経て、2007年から県教育委員、09年から委員長を務めている。	八重樫氏を再任　県教育委員長@県の委員長、八重樫氏が再任に就任@県教育委員長に八重樫氏を再任@県立県教育委員長に八重樫氏を再任@新県教育委員長に八重樫氏を再任@県立高の県教育委員長に八重樫氏を再任	
44	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	亀岡市議会は9月定例会最終日の3日、議員定数を2議席減らし、24とする条例改正案を賛成多数で可決した。来年1月の市議選から適用される。保守系と公明党の計4会派の共同提案。	亀岡市議会で定数2議席減　来年1月適用@新聞社系と公明、2議席を削減　亀岡市議会@亀岡市議会、定数2減@新聞社の定数削減可決　亀岡市議会@定数削減案を可決　亀岡市議会@参院選から適用、亀岡市議会可決	
45	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	日本近代五種・バイアスロン連合は22日の総会で、新法人の移行手続きに伴い、競技ごとに分離することを報告した。今年末か来年初めに正式に分離する見通し。	全法人を分離へ　日本近代五種・バイアスロン連合@近代5種とバイアスロンが分離へ　日本近代五種・バイアスロン連合が報告@国外から競技分離へ　日本近代五種・バイアスロン連合@日本近代五種・バイアスロン連合、競技別に分離@日本近代五種・バイアスロン連合、競技別に分離へ@競技別に分離、バイアスロン連合が報告	
46	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	第13回東日本学校吹奏楽大会を開きます。中学、高校生の小編成バンドの育成と小学校バンドの演奏機会の拡大を目指した大会です。主催の6吹奏楽連盟から選ばれた60団体が参加します。	高校以上の部、来月に開催　東日本学校吹奏楽大会@第13回東日本学校吹奏楽大会　東京で来月9・10日、横須賀で@震災と学校吹奏楽大会　来月9日、埼玉・所沢で@被災3県60団体参加し開催　10月に東日本学校吹奏楽大会@第13回東日本学校吹奏楽大会　富山で来月12・13日@第13回東日本学校吹奏楽大会　来月、埼玉・所沢で	
47	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	日銀の追加金融緩和策を受けて上昇した。円相場も下落して、TOPIXは5日続伸。日経平均株価は反発し、4カ月半ぶりに9200円を超えた。	追加緩和策で上昇　東証1部@日銀の追加緩和策受け、円安・円高で反発　東証1部@生活保護問題　追加緩和を止めよ@欧州不安、一時9200円台　東証1部@参院選控えて好感　追加緩和策受け上昇　東証1部@追加緩和受けて上昇　東証1部	
48	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	東日本大震災の被災地は4度目のお盆を迎える。復興に向かうなか、震災の記憶が薄らぐまちもある。月命日の11日、大切な人への思いを心に刻んだ。	あの日の記憶、胸に刻む　東日本大震災4年、思い新たに@水もしたたる、あの日の記憶　東日本大震災4年@あの日の記憶、胸に刻む　東日本大震災4年@忘れないよ　被災地で追悼の祈り　東日本大震災4年　別刷り特集@被災の記憶、4度目のお盆　「忘れない」「忘れない」@あの人、あの街、刻む盆　東日本大震災の被災地	
49	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	10日投開票の県議選が1日、告示される。31日に敦賀市選挙区で1人が新たに出馬を表明し、立候補予定者は計51人になった。新たに立候補を表明したのは共産党新顔の金元友氏(28)。	新顔3氏の戦いか　県議選きょう告示@敦賀市選挙区、新顔1人出馬へ　県議選、あす告示@参院選あす公示　共産公認・金元氏、無所属に@立候補予定計51人、県議選きょう告示@県都で選挙戦の様相　県議選きょう告示@「実績」訴え、51人準備　県議選きょう告示	
50	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	先月中旬から発売されている選手プロデュースグッズが人気だ。選手と話し合い、デザインや色などに選手の好みを反映。今年のグッズは過去最多の11選手。	五輪効果?人気グッズ好調@今週から発売のプロデュースグッズが人気@春風を呼ぶプロデュースグッズ人気　野球・日本女子リーグ@選手の好み反映、プロデュースグッズ人気　プロ野球@選手参加のグッズ好評　プロ野球@アツアツイ!選手と一緒!　プロデュースグッズ人気　プロ野球	
51	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	北名古屋市議会は21日の定例会本会議で、議員定数を現在の24から21に削減する条例改正案を賛成多数で可決した。同市議の任期は2014年4月22日までで、次回の市議選から適用される。	「定数2減」北名古屋市議会可決@北名古屋市議数、3減@北名古屋の議員定数2減@ロシア市議定数を21に削減へ　北名古屋市議会可決@北名古屋市議会、定数2減の条例案を可決@北名古屋市議会、定数2減を可決	
52	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	低炭素時代の「風」を、うまくつかめるか。日本にとって大事なチャンスを逃してはならない。地球温暖化を食い止めるには、自然エネルギーを幅広く活用することが欠かせない。	「エコ風」で温暖化防げ　日本発、世界で成功例を@今週は地球環境:6　低炭素時代の「風」を逃さぬために@グローブ13号温暖化と日本　日本は「風」を抑えるには?@温暖化と日本　「風」を逃し、脱温暖化@自然エネルギー　風をつかむ好機はいま@環境対策　エネルギー活用、日本が本腰	
53	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	28日午前6時ごろ、土佐市家俊の無職尾崎歌子さん(78)方付近から出火。木造2階建て延べ200平方メートルが全焼した。焼け跡から女性の遺体が見つかっており、土佐署は尾崎さんの可能性があるとみて調べている。	住宅が全焼、1人死亡　土佐@大家全焼し1人死亡　土佐@「火事」1人死亡　土佐@土佐で家屋全焼、1人死亡@佐市で民家全焼、1人死亡@土佐市で民家全焼、女性死亡	
54	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	福井県敦賀市の敦賀港が活況を呈している。フェリー、貨物船ともに好調を維持。市民有志による見送りボランティア組織も結成され、港湾都市を盛り上げようと活動を始めた。	活況の敦賀港　客船続々、官民一体でおもてなし@敦賀港、活気呼ぶ　フェリー・貨物船好調　福井@福井・敦賀港、活気づく　市民有志ら、港整備に奔走@敦賀港、にぎわいの波　福井@観光都市へ攻勢　敦賀港、盛況維持に奔走　フェリー・貨物船好調維持@敦賀港、活気づく　フェリー・貨物船好調　福井	
55	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	五木村選挙管理委員会は16日、任期満了に伴う村議選(定数10)の日程を7月16日告示、21日投開票と決めた。有権者数は1142人(3月2日現在、村選管調べ)	県内3選挙も同日選　五木村@五木村議選は7月21日投開票@三木町議選日程決まる@五木村村議選は7月21日投開票@五木村村議選は来月21日@五木村村議選は7月16日告示　21日に投開票	
56	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	中東イスラーム世界はいま大きな転換期にあります。アメリカとイランの関係改善にいら立つイスラエル。内戦が克服できないイラク、シリア。	中東ウォッチ　イスラエル・シリア・シリア・シリア・シリア　川上泰徳@歴史から迫る現代、中東・アラブ世界の底流@中東ウォッチ　イスラエル・シリア・シリア・シリア　川上泰徳@世界は中東を変える　中東ウォッチ　川上泰徳@中東ウォッチ　「イスラエルのイスラーム世界」の行方　川上泰徳@グローブ14号中東の「イスラーム」とは　イスラエル	
